player,bpm,obpm,dbpm,vorp,age,ts_pct,mp,tov_pct,trb_pct,usg_pct,fg3a_per_fga_pct,fta_per_fga_pct,team,year,fg3_pct,fg2_pct,ft_pct
Hedo Türkoğlu,0.4,0.7,-0.4,1.4,30,0.54,2272,13.9,8.9,18.1,0.429,0.335,TOR,2010,0.374,0.436,0.774
Jarrett Jack,0.4,2.0,-1.6,1.4,26,0.599,2243,17.3,5.8,19.1,0.297,0.359,TOR,2010,0.412,0.511,0.842
José Calderón,0.6,2.5,-1.9,1.2,28,0.569,1817,13.9,4.6,17.9,0.301,0.183,TOR,2010,0.398,0.519,0.798
DeMar DeRozan,-2.8,-1.5,-1.3,-0.3,20,0.554,1664,9.4,7.9,18.1,0.031,0.379,TOR,2010,0.25,0.506,0.763
Amir Johnson,-0.6,-0.6,0.0,0.5,22,0.639,1453,13.6,16.1,14.5,0.012,0.446,TOR,2010,0.0,0.63,0.638
Antoine Wright,-3.3,-1.9,-1.4,-0.4,25,0.502,1392,11.8,8.1,16.1,0.434,0.193,TOR,2010,0.335,0.46,0.688
Sonny Weems,-2.0,-1.3,-0.7,0.0,23,0.533,1368,11.8,8.3,18.4,0.033,0.14,TOR,2010,0.133,0.528,0.688
Marco Belinelli,-1.3,-0.3,-1.0,0.2,23,0.543,1121,12.2,5.0,20.1,0.417,0.319,TOR,2010,0.38,0.425,0.835
Rasho Nesterović,-1.2,-0.2,-1.0,0.1,33,0.539,413,9.6,12.7,18.5,0.0,0.034,TOR,2010,0.0,0.544,0.2
Reggie Evans,-4.6,-3.5,-1.1,-0.2,29,0.498,311,18.7,19.9,17.2,0.0,0.87,TOR,2010,0.0,0.493,0.45
Marcus Banks,-0.3,-0.4,0.1,0.1,28,0.635,244,18.9,5.6,19.8,0.329,0.397,TOR,2010,0.292,0.653,0.828
Pops Mensah-Bonsu,-5.8,-4.3,-1.5,-0.1,26,0.46,107,21.3,17.1,20.0,0.0,0.621,TOR,2010,0.0,0.414,0.556
Patrick O'Bryant,-6.6,-7.2,0.5,-0.1,23,0.539,51,22.1,12.7,20.3,0.067,0.4,TOR,2010,0.0,0.571,0.5
Andre Iguodala,2.4,2.0,0.4,3.5,26,0.535,3193,14.3,9.8,21.8,0.271,0.384,PHI,2010,0.31,0.492,0.733
Elton Brand,-1.8,-1.1,-0.7,0.1,30,0.518,2297,12.0,11.8,21.7,0.001,0.272,PHI,2010,0.0,0.481,0.738
Thaddeus Young,-1.9,-0.4,-1.5,0.1,21,0.523,2145,12.5,9.6,21.5,0.17,0.203,PHI,2010,0.348,0.495,0.691
Samuel Dalembert,-0.9,-1.2,0.3,0.6,28,0.573,2124,17.5,21.8,15.1,0.0,0.254,PHI,2010,0.0,0.545,0.729
Lou Williams,1.6,1.9,-0.4,1.7,23,0.576,1912,12.0,5.8,21.1,0.304,0.344,PHI,2010,0.34,0.527,0.824
Jrue Holiday,-1.7,-1.1,-0.6,0.1,19,0.526,1767,21.9,6.4,18.4,0.306,0.165,PHI,2010,0.39,0.465,0.756
Willie Green,-2.2,-0.7,-1.5,-0.1,28,0.538,1553,10.1,4.9,19.4,0.25,0.21,PHI,2010,0.346,0.494,0.833
Marreese Speights,-2.9,-1.3,-1.6,-0.2,22,0.524,1016,9.1,14.6,25.1,0.011,0.327,PHI,2010,0.0,0.483,0.745
Jason Kapono,-4.0,-1.9,-2.2,-0.5,28,0.527,976,10.0,4.0,15.9,0.568,0.05,PHI,2010,0.368,0.485,0.6
Rodney Carney,-1.3,-0.6,-0.7,0.2,25,0.515,857,6.3,9.4,17.6,0.479,0.223,PHI,2010,0.304,0.49,0.825
Allen Iverson,-3.1,-1.2,-1.9,-0.2,34,0.508,798,14.3,5.5,22.8,0.083,0.41,PHI,2010,0.333,0.425,0.824
Jason Smith,-4.3,-3.9,-0.4,-0.4,23,0.491,658,15.4,12.1,15.8,0.167,0.241,PHI,2010,0.345,0.448,0.69
Royal Ivey,0.3,-0.3,0.6,0.1,28,0.603,236,7.9,6.5,12.2,0.436,0.127,PHI,2010,0.5,0.452,0.857
Jodie Meeks,0.0,1.9,-1.9,0.1,22,0.566,233,4.8,6.8,20.3,0.549,0.198,PHI,2010,0.38,0.512,0.722
Primož Brezec,-16.6,-10.7,-5.9,-0.1,30,0.18,36,0.0,19.6,17.6,0.0,0.154,PHI,2010,0.0,0.154,0.5
Francisco Elson,-14.0,-2.6,-11.5,0.0,33,0.301,4,0.0,14.7,37.8,0.0,1.5,PHI,2010,0.0,0.5,0.0
Derrick Rose,1.7,2.6,-0.9,2.7,21,0.532,2871,12.5,5.7,27.2,0.044,0.246,CHI,2010,0.267,0.5,0.766
Luol Deng,1.0,0.7,0.3,2.0,24,0.531,2651,10.4,10.7,21.9,0.082,0.325,CHI,2010,0.386,0.474,0.764
Kirk Hinrich,-0.5,-1.6,1.0,0.9,29,0.501,2481,12.3,5.8,16.6,0.372,0.15,CHI,2010,0.371,0.431,0.752
Taj Gibson,-2.0,-2.4,0.5,0.0,24,0.521,2204,13.9,15.4,16.7,0.0,0.278,CHI,2010,0.0,0.494,0.646
Brad Miller,-0.8,-1.4,0.5,0.6,33,0.53,1950,13.6,11.4,18.1,0.227,0.379,CHI,2010,0.28,0.474,0.827
Joakim Noah,1.6,0.1,1.5,1.7,24,0.557,1925,16.0,20.3,17.1,0.0,0.421,CHI,2010,0.0,0.504,0.744
John Salmons,0.5,-0.9,1.3,1.1,30,0.53,1695,10.3,5.7,18.1,0.35,0.268,CHI,2010,0.38,0.441,0.789
Jannero Pargo,-4.8,-3.7,-1.1,-0.6,30,0.429,829,11.1,5.2,24.4,0.362,0.118,CHI,2010,0.275,0.387,0.933
James Johnson,-2.4,-4.0,1.5,-0.1,22,0.532,757,20.5,9.4,18.0,0.219,0.333,CHI,2010,0.326,0.488,0.729
Ronald Murray,-2.5,-1.7,-0.9,-0.1,30,0.487,680,8.0,7.0,21.5,0.331,0.232,CHI,2010,0.311,0.44,0.762
Tyrus Thomas,2.0,-1.6,3.6,0.7,23,0.523,678,17.5,15.0,19.6,0.005,0.439,CHI,2010,0.0,0.485,0.644
Hakim Warrick,-1.9,-0.3,-1.6,0.0,27,0.56,533,9.6,10.6,20.2,0.006,0.593,CHI,2010,0.0,0.485,0.755
