team,fg_pct,fg3_pct,ft_pct,year,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,mov,sos,wins,losses,efg_pct,orb_pct,tov_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate,win_pct
PHO,.470,0.377,0.759,2011,109.5,110.4,94.4,0.283,0.271,0.559,-0.89,0.43,40,42,0.522,0.24,0.13,0.215,0.513,0.13,0.72,0.211,0.5
OKC,.464,0.347,0.823,2011,111.2,107.2,92.7,0.363,0.212,0.561,3.79,0.02,55,27,0.501,0.27,0.13,0.299,0.493,0.13,0.74,0.228,0.71
SAS,.475,0.397,0.767,2011,111.8,105.6,92.3,0.299,0.261,0.567,5.71,0.16,61,21,0.527,0.25,0.13,0.229,0.491,0.13,0.75,0.19,0.75
GSW,.461,0.392,0.761,2011,108.2,110.7,94.8,0.241,0.248,0.544,-2.33,0.33,36,46,0.51,0.27,0.13,0.183,0.509,0.14,0.69,0.259,0.43
MIA,.481,0.37,0.769,2011,111.7,103.5,90.9,0.363,0.235,0.573,7.46,-0.71,58,24,0.524,0.25,0.14,0.279,0.475,0.13,0.76,0.223,0.71
LAL,.463,0.352,0.779,2011,111.0,104.3,90.7,0.293,0.22,0.545,6.11,-0.10,57,25,0.502,0.29,0.12,0.228,0.477,0.13,0.72,0.181,0.71
MIN,.441,0.376,0.768,2011,104.2,111.1,96.5,0.282,0.223,0.526,-6.63,0.67,17,65,0.483,0.3,0.15,0.217,0.514,0.13,0.74,0.251,0.15
DAL,.475,0.365,0.777,2011,109.7,105.0,91.3,0.286,0.274,0.565,4.23,0.18,57,25,0.525,0.24,0.14,0.222,0.488,0.13,0.75,0.206,0.71
MEM,.471,0.334,0.75,2011,107.6,105.1,91.9,0.291,0.136,0.534,2.34,0.20,46,36,0.493,0.29,0.13,0.218,0.502,0.16,0.72,0.228,0.57
IND,.442,0.354,0.782,2011,104.8,106.0,94.7,0.3,0.244,0.533,-1.07,-0.30,37,45,0.486,0.26,0.14,0.235,0.487,0.13,0.74,0.237,0.43
